"Start","End","ticker_symbol","ticker_price","ticker_compname","ticker_min","ticker_max","ticker_fct"
"03.01.2000 1:0:0","23.01.2000 1:0:0","CHX","7.75","PILGRIMS PRIDE CORP","6.375","8.125","1.2745098039215685"
"03.01.2000 1:0:0","23.01.2000 1:0:0","SJM","15.75","SMUCKER J M CO","15.875","19.1875","1.2086614173228347"
"03.01.2000 1:0:0","23.01.2000 1:0:0","AKO","17.75","EMBOTELLADORA ANDINA S A","14.5","17.8125","1.228448275862069"
"03.01.2000 1:0:0","23.01.2000 1:0:0","ETZ","5.5","ETZ LAVUD LTD","5.375","7.5","1.3953488372093024"
"03.01.2000 1:0:0","23.01.2000 1:0:0","DIN","0.375","CONSORCIO G GRUPO DINA SA DE CV","0.375","0.75","2.0"
"03.01.2000 1:0:0","23.01.2000 1:0:0","MOG","26.6875","MOOG INC","27.0","40.5","1.5"
"03.01.2000 1:0:0","23.01.2000 1:0:0","TI","131.5","TELECOM ITALIA SPA","61.5","139.5","2.268292682926829"
"03.01.2000 1:0:0","23.01.2000 1:0:0","CIV","16.5","CONECTIV INC","16.25","29.9375","1.8423076923076922"
"03.01.2000 1:0:0","23.01.2000 1:0:0","AGM","16.125","FEDERAL AGRICULTURAL MORT CORP","16.0","19.3125","1.20703125"
"03.01.2000 1:0:0","23.01.2000 1:0:0","BRK","52000.0","BERKSHIRE HATHAWAY INC DEL","1765.0","54800.0","31.048158640226628"
"03.01.2000 1:0:0","23.01.2000 1:0:0","WAK","14.8125","WACKENHUT CORP","9.9375","15.0","1.509433962264151"
"04.01.2000 1:0:0","24.01.2000 1:0:0","FCX","18.0","FREEPORT MCMORAN COPPER & GOLD","17.375","21.1875","1.2194244604316546"
"04.01.2000 1:0:0","24.01.2000 1:0:0","TTEN","3.0","3 T E C ENERGY CORP","2.875","3.5","1.2173913043478262"
"04.01.2000 1:0:0","24.01.2000 1:0:0","OMNI","1.1875","OMNI ENERGY SERVICES CORP","1.125","1.375","1.2222222222222223"
"04.01.2000 1:0:0","24.01.2000 1:0:0","PCR","5.375","PERINI CORP","4.0625","5.0","1.2307692307692308"
"04.01.2000 1:0:0","24.01.2000 1:0:0","CHX","7.875","PILGRIMS PRIDE CORP","6.0","8.125","1.3541666666666667"
"04.01.2000 1:0:0","24.01.2000 1:0:0","TOF","2.3125","TOFUTTI BRANDS INC","2.0","2.75","1.375"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SJM","15.625","SMUCKER J M CO","15.75","19.1875","1.2182539682539681"
"04.01.2000 1:0:0","24.01.2000 1:0:0","AKO","17.375","EMBOTELLADORA ANDINA S A","14.5","17.8125","1.228448275862069"
"04.01.2000 1:0:0","24.01.2000 1:0:0","BMLS","2.0","BURKE MILLS INC","1.8125","2.25","1.2413793103448276"
"04.01.2000 1:0:0","24.01.2000 1:0:0","EPTG","0.875","E P L TECHNOLOGIES INC","0.71875","0.9375","1.3043478260869565"
"04.01.2000 1:0:0","24.01.2000 1:0:0","DAYR","3.125","DAY RUNNER INC","2.96875","3.8125","1.2842105263157895"
"04.01.2000 1:0:0","24.01.2000 1:0:0","BGEN","73.875","BIOGEN INC","73.0625","88.0","1.204448246364414"
"04.01.2000 1:0:0","24.01.2000 1:0:0","CYAN","1.3125","CYANOTECH CORP","1.34375","1.65625","1.2325581395348837"
"04.01.2000 1:0:0","24.01.2000 1:0:0","GZTC","11.8125","GENZYME TRANSGENICS CORP","10.375","12.5","1.2048192771084338"
"04.01.2000 1:0:0","24.01.2000 1:0:0","IGEN","33.6875","IGEN INTERNATIONAL INC","28.3125","34.25","1.2097130242825607"
"04.01.2000 1:0:0","24.01.2000 1:0:0","ICCC","3.0","IMMUCELL CORP","2.5625","3.125","1.2195121951219512"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SYBB","1.96875","SYNSORB BIOTECH INC","2.03125","2.46875","1.2153846153846153"
"04.01.2000 1:0:0","24.01.2000 1:0:0","TRA","2.8125","TERRA INDUSTRIES INC","2.8125","3.6875","1.3111111111111111"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SNKI","1.1875","SWANK INC","1.0625","1.28125","1.2058823529411764"
"04.01.2000 1:0:0","24.01.2000 1:0:0","AESP","2.0","ADVANCED ELECTRONIC SUP PROD INC","1.65625","2.0","1.2075471698113207"
"04.01.2000 1:0:0","24.01.2000 1:0:0","ADSP","8.625","ARIEL CORP","7.375","9.75","1.3220338983050848"
"04.01.2000 1:0:0","24.01.2000 1:0:0","ASPX","8.0","AUSPEX SYSTEMS INC","7.625","10.125","1.3278688524590163"
"04.01.2000 1:0:0","24.01.2000 1:0:0","IMSG","1.4375","IMAGE SYSTEMS CORP","1.0","1.5","1.5"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SOS","4.375","STORAGE COMPUTER CORP","3.3125","4.125","1.2452830188679245"
"04.01.2000 1:0:0","24.01.2000 1:0:0","TTMT","0.9375","TOWER TECH INC","0.6875","0.875","1.2727272727272727"
"04.01.2000 1:0:0","24.01.2000 1:0:0","VCR","2.375","SENSORY SCIENCE CORP","1.875","2.375","1.2666666666666666"
"04.01.2000 1:0:0","24.01.2000 1:0:0","AUDC","72.125","AUDIOCODES LTD","71.5","87.5","1.2237762237762237"
"04.01.2000 1:0:0","24.01.2000 1:0:0","DITC","118.1875","DITECH COMMUNICATIONS CORP","97.875","119.0","1.2158365261813537"
"04.01.2000 1:0:0","24.01.2000 1:0:0","DYNX","1.07813","DYNATEC INTERNATIONAL INC","1.03125","1.25","1.2121212121212122"
"04.01.2000 1:0:0","24.01.2000 1:0:0","ETCIA","3.125","ELECTRONIC TELE COMMUNICATIONS","2.5","3.09375","1.2375"
"04.01.2000 1:0:0","24.01.2000 1:0:0","IDC","58.0","INTERDIGITAL COMMUNICATIONS CORP","51.0","63.0","1.2352941176470589"
"04.01.2000 1:0:0","24.01.2000 1:0:0","NWLL","31.5","NEW TEL LTD","8.21875","31.5","3.832699619771863"
"04.01.2000 1:0:0","24.01.2000 1:0:0","TLDT","0.71875","TELIDENT INC","0.625","0.78125","1.25"
"04.01.2000 1:0:0","24.01.2000 1:0:0","CSYI","1.5625","CIRCUIT SYSTEMS INC","1.25","1.5625","1.25"
"04.01.2000 1:0:0","24.01.2000 1:0:0","EFTC","2.625","EFTC CORP","2.0","2.9375","1.46875"
"04.01.2000 1:0:0","24.01.2000 1:0:0","LINK","47.25","INTERLINK ELECTRONICS","46.0","56.5","1.2282608695652173"
"04.01.2000 1:0:0","24.01.2000 1:0:0","JET","0.75","JETRONIC INDUSTRIES INC","0.8125","1.0","1.2307692307692308"
"04.01.2000 1:0:0","24.01.2000 1:0:0","RSYS","37.875","RADISYS CORP","40.0","49.375","1.234375"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SPLI","43.25","SPECTRA PHYSICS LASERS INC","31.375","38.375","1.2231075697211156"
"04.01.2000 1:0:0","24.01.2000 1:0:0","XTEL","1.625","XETEL CORP","1.375","1.75","1.2727272727272727"
"04.01.2000 1:0:0","24.01.2000 1:0:0","BMTR","0.78125","BONDED MOTORS INC","0.625","0.78125","1.25"
"04.01.2000 1:0:0","24.01.2000 1:0:0","DIN","-0.40625","CONSORCIO G GRUPO DINA SA DE CV","0.375","0.75","2.0"
"04.01.2000 1:0:0","24.01.2000 1:0:0","AXLE","0.625","T J T INC","0.53125","0.65625","1.2352941176470589"
"04.01.2000 1:0:0","24.01.2000 1:0:0","NYMX","3.5","NYMOX PHARMACEUTICAL CORP","2.625","3.25","1.2380952380952381"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SCII","59.25","SENSAR CORP","45.25","55.0","1.2154696132596685"
"04.01.2000 1:0:0","24.01.2000 1:0:0","POCI","14.9375","PRECISION OPTICS CORP INC","13.25","16.0","1.2075471698113207"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SMTS","1.9375","SOMANETICS CORP","1.625","2.125","1.3076923076923077"
"04.01.2000 1:0:0","24.01.2000 1:0:0","VMTI","0.75","VISTA MEDICAL TECHNOLOGIES INC","0.73438","0.9375","1.2765870530243197"
"04.01.2000 1:0:0","24.01.2000 1:0:0","BTBT","0.5","B T SHIPPING LTD","0.5","0.625","1.25"
"04.01.2000 1:0:0","24.01.2000 1:0:0","LMG","49.875","A T & T CORP","51.59375","66.5","1.2889158086008479"
"04.01.2000 1:0:0","24.01.2000 1:0:0","BIPRY","-8.125","BIPER S A DE C V","7.75","9.5","1.2258064516129032"
"04.01.2000 1:0:0","24.01.2000 1:0:0","CNEBF","3.9375","CALL NET ENTERPRISES INC","3.0625","3.875","1.2653061224489797"
"04.01.2000 1:0:0","24.01.2000 1:0:0","STGC","24.5","STARTEC GLOBAL COM CORP","21.375","27.0","1.263157894736842"
"04.01.2000 1:0:0","24.01.2000 1:0:0","PLA","19.4375","PLAYBOY ENTERPRISES INC","19.8125","24.125","1.2176656151419558"
"04.01.2000 1:0:0","24.01.2000 1:0:0","LDIG","55.25","LIBERTY DIGITAL INC","57.5","70.125","1.2195652173913043"
"04.01.2000 1:0:0","24.01.2000 1:0:0","SITE","13.6875","SPECTRASITE HOLDINGS INC","11.0625","13.3125","1.2033898305084745"
"04.01.2000 1:0:0","24.01.2000 1:0:0","CIV","17.1875","CONECTIV INC","16.25","29.9375","1.8423076923076922"
"04.01.2000 1:0:0","24.01.2000 1:0:0","HENL","2.0","HENLEY HEALTHCARE INC","1.65625","2.0625","1.2452830188679245"
